TYPE = NURBS

GLOBAL_S = [0 0 0 0 0.0156423 0.0234634 0.0312845 0.0391057 0.0469268 0.0547479 0.0625691 0.0703902 0.0770446 0.0825322 0.086853 0.0911738 0.0954946 0.0998154 0.104136 0.108457 0.112778 0.117099 0.122901 0.130186 0.138952 0.147719 0.156485 0.165252 0.174018 0.182785 0.191551 0.200318 0.209084 0.217851 0.226617 0.235384 0.24415 0.252916 0.261683 0.270449 0.279216 0.287982 0.299462 0.313655 0.33056 0.347466 0.364372 0.381277 0.398183 0.415089 0.431995 0.4489 0.477977 0.519225 0.572645 0.626064 0.679484 0.732903 0.786322 0.839742 0.893161 1.0 1.0 1.0 1.0]

GLOBAL_T = [0 0 0 0 1 1 1 1]

GLOBAL_U = [0.0]

DEGREE_S = 3
DEGREE_T = 3
DEGREE_U = 0

NUM_CP = 244
-35.8232 49.9746 0 1
-30.5278 49.9734 0 1
-25.2334 49.9721 0 1
-19.9395 49.9708 0 1
-14.6427 49.9695 0 1
-9.35671 49.9682 0 1
-3.42155 49.9667 0 1
3.495 49.9651 0 1
14.2325 49.9624 0 1
25.4636 49.9597 0 1
37.6639 49.9567 0 1
49.7843 49.9538 0 1
61.9256 49.9506 0 1
74.0633 49.9487 0 1
86.1944 49.9415 0 1
98.3556 49.9545 0 1
110.403 49.892 0 1
122.876 50.1113 0 1
133.76 49.2788 0 1
145.07 48.7282 0 1
156.265 48.102 0 1
167.492 47.4961 0 1
178.71 46.8848 0 1
189.93 46.2749 0 1
201.15 45.6644 0 1
212.371 45.055 0 1 
224.743 44.3789 0 1
239.461 43.5955 0 1
257.406 42.4702 0 1
277.753 41.2727 0 1
299.214 39.9856 0 1
320.684 38.7044 0 1
342.152 37.4216 0 1
363.621 36.1393 0 1
385.089 34.8568 0 1
406.56 33.5743 0 1
433.173 31.984 0 1
470.157 29.7793 0 1
521.536 26.6322 0 1 
583.659 22.8775 0 1
650.68 18.8105 0 1
717.756 14.7445 0 1
784.817 10.6782 0 1
851.882 6.61196 0 1
918.947 2.54572 0 1
1008.37 -2.87593 0 1
1075.43 -6.94217 0 1
1120.14 -9.653 0 1
