TYPE = NURBS

GLOBAL_S = [0.000000000  0.000000000  0.000000000  0.250000000  0.250000000 0.500000000  0.500000000  0.750000000  0.750000000  1.000000000  1.000000000 1.000000000]
GLOBAL_T = [0.000000000  0.000000000  1.000000000  1.000000000]
GLOBAL_U = [0.000000000  0.000000000  0.000000000  0.2  0.4 0.6  0.8 1.000000000  1.000000000  1.000000000]


DEGREE_S = 2
DEGREE_T = 1
DEGREE_U = 2

NUM_CP = 126
0.626542808891E+02 -0.309918566284E+02  0.888890853025E+01  0.100000000000E+01
0.626542808891E+02 -0.309918566284E+02  0.888890853025E+01  0.707106828055E+00
0.626542808891E+02 -0.309918566284E+02  0.888890853025E+01  0.100000000000E+01
0.626542808891E+02 -0.309918566284E+02  0.888890853025E+01  0.707106734318E+00
0.626542808891E+02 -0.309918566284E+02  0.888890853025E+01  0.100000000000E+01
0.626542808891E+02 -0.309918566284E+02  0.888890853025E+01  0.707106896120E+00
0.626542808891E+02 -0.309918566284E+02  0.888890853025E+01  0.100000000000E+01
0.626542808891E+02 -0.309918566284E+02  0.888890853025E+01  0.707106666254E+00
0.626542808891E+02 -0.309918566284E+02  0.888890853025E+01  0.100000000000E+01
0.624909060161E+02 -0.321032171418E+02  0.884708639700E+01  0.100000000000E+01
0.633306531191E+02 -0.321087967237E+02  0.824329322669E+01  0.707106828055E+00
0.635557659888E+02 -0.310994394778E+02  0.822617690336E+01  0.100000000000E+01
0.636312109305E+02 -0.300709087124E+02  0.831927935143E+01  0.707106734318E+00
0.628178852921E+02 -0.298789375499E+02  0.893078987800E+01  0.100000000000E+01
0.619762194039E+02 -0.298721527356E+02  0.953613349860E+01  0.707106896120E+00
0.617512686823E+02 -0.308840913268E+02  0.955276311935E+01  0.100000000000E+01
0.616768371943E+02 -0.319130907017E+02  0.945886308564E+01  0.707106666254E+00
0.624909060161E+02 -0.321032171418E+02  0.884708639700E+01  0.100000000000E+01
0.608186756317E+02 -0.307212827785E+02  0.657550455581E+01  0.100000000000E+01
0.608186756317E+02 -0.307212827785E+02  0.657550455581E+01  0.707106571589E+00
0.608186756317E+02 -0.307212827785E+02  0.657550455581E+01  0.100000000000E+01
0.608186756317E+02 -0.307212827785E+02  0.657550455581E+01  0.707106781185E+00
0.608186756317E+02 -0.307212827785E+02  0.657550455581E+01  0.100000000000E+01
0.608186756317E+02 -0.307212827785E+02  0.657550455581E+01  0.707106998815E+00
0.608186756317E+02 -0.307212827785E+02  0.657550455581E+01  0.100000000000E+01
0.608186756317E+02 -0.307212827785E+02  0.657550455581E+01  0.707106773158E+00
0.608186756317E+02 -0.307212827785E+02  0.657550455581E+01  0.100000000000E+01
0.607355688756E+02 -0.318310488443E+02  0.662810856071E+01  0.100000000000E+01
0.615056624812E+02 -0.318348671221E+02  0.594219301753E+01  0.707106571589E+00
0.616413103609E+02 -0.308177026033E+02  0.584100388166E+01  0.100000000000E+01
0.616524659412E+02 -0.297945580772E+02  0.585080713834E+01  0.707106781185E+00
0.609010264788E+02 -0.296215883962E+02  0.652337707082E+01  0.100000000000E+01
0.601347597601E+02 -0.296136334984E+02  0.720596974275E+01  0.707106998815E+00
0.599925745382E+02 -0.306244560933E+02  0.731309781339E+01  0.100000000000E+01
0.599764339552E+02 -0.316576929832E+02  0.730753927974E+01  0.707106773158E+00
0.607355688756E+02 -0.318310488443E+02  0.662810856071E+01  0.100000000000E+01
0.587972054289E+02 -0.309469520254E+02  0.441728342233E+01  0.100000000000E+01
0.587972054289E+02 -0.309469520254E+02  0.441728342233E+01  0.707106574330E+00
0.587972054289E+02 -0.309469520254E+02  0.441728342233E+01  0.100000000000E+01
0.587972054289E+02 -0.309469520254E+02  0.441728342233E+01  0.707106781187E+00
0.587972054289E+02 -0.309469520254E+02  0.441728342233E+01  0.100000000000E+01
