159
106 107 6 6 1 1
105 107 1 6 1 1
105 106 1 6 1 1
104 105 6 6 1 1
103 105 1 6 1 1
103 104 1 6 1 1
100 103 1 6 1 1
99 103 1 6 1 1
101 102 6 6 1 1
100 102 6 6 1 1
100 101 6 6 1 1
99 100 1 1 1 1
98 99 6 6 1 1
97 99 6 6 1 1
97 98 6 6 1 1
90 97 1 1 1 1
89 97 6 1 1 1
95 96 6 1 1 1
94 96 6 1 1 1
94 95 6 6 1 1
93 94 1 1 1 1
92 94 1 1 1 1
92 93 1 1 1 1
91 92 6 6 1 1
90 92 6 6 1 1
90 91 6 6 1 1
89 90 6 1 1 1
82 89 1 1 1 1
81 89 6 1 1 1
87 88 6 1 1 1
86 88 6 1 1 1
86 87 6 6 1 1
85 86 6 1 1 1
84 86 1 1 1 1
84 85 1 6 1 1
83 84 1 6 1 1
82 84 6 6 1 1
82 83 6 1 1 1
81 82 6 1 1 1
80 81 1 1 1 1
79 81 6 1 1 1
79 80 6 1 1 1
64 79 1 1 1 1
63 79 6 1 1 1
77 78 1 1 1 1
76 78 6 1 1 1
76 77 6 1 1 1
75 76 1 1 1 1
74 76 6 1 1 1
74 75 6 1 1 1
73 74 1 1 1 1
72 74 6 1 1 1
72 73 6 1 1 1
71 72 1 1 1 1
70 72 6 1 1 1
70 71 6 1 1 1
65 70 1 1 1 1
64 70 6 1 1 1
68 69 1 1 1 1
67 69 6 1 1 1
67 68 6 1 1 1
66 67 1 1 1 1
65 67 6 1 1 1
65 66 6 1 1 1
64 65 6 1 1 1
63 64 6 1 1 1
60 63 1 1 1 1
59 63 6 1 1 1
61 62 1 1 1 1
60 62 6 1 1 1
60 61 6 1 1 1
59 60 6 1 1 1
58 59 1 1 1 1
57 59 6 1 1 1
57 58 6 1 1 1
28 57 1 1 1 1
27 57 6 1 1 1
55 56 1 1 1 1
54 56 6 1 1 1
54 55 6 1 1 1
53 54 1 1 1 1
52 54 6 1 1 1
52 53 6 1 1 1
51 52 1 1 1 1
50 52 6 1 1 1
50 51 6 1 1 1
49 50 1 1 1 1
48 50 6 1 1 1
48 49 6 1 1 1
47 48 1 1 1 1
46 48 6 1 1 1
46 47 6 1 1 1
39 46 1 1 1 1
38 46 6 1 1 1
44 45 1 1 1 1
43 45 6 1 1 1
43 44 6 1 1 1
42 43 1 1 1 1
41 43 6 1 1 1
41 42 6 1 1 1
40 41 1 1 1 1
39 41 6 1 1 1
39 40 6 1 1 1
38 39 6 1 1 1
35 38 1 1 1 1
34 38 6 1 1 1
36 37 1 1 1 1
35 37 6 1 1 1
35 36 6 1 1 1
34 35 6 1 1 1
31 34 1 1 1 1
30 34 6 1 1 1
32 33 1 1 1 1
31 33 6 1 1 1
31 32 6 1 1 1
30 31 6 1 1 1
29 30 1 1 1 1
28 30 6 1 1 1
28 29 6 1 1 1
27 28 6 1 1 1
26 27 1 1 1 1
25 27 6 1 1 1
25 26 6 1 1 1
16 25 1 1 1 1
15 25 6 1 1 1
23 24 1 1 1 1
22 24 6 1 1 1
22 23 6 1 1 1
21 22 1 1 1 1
20 22 6 1 1 1
20 21 6 1 1 1
17 20 1 1 1 1
16 20 6 1 1 1
18 19 1 1 1 1
17 19 6 1 1 1
17 18 6 1 1 1
16 17 6 1 1 1
15 16 6 1 1 1
2 15 1 1 1 1
1 15 6 1 1 1
13 14 1 1 1 1
12 14 6 1 1 1
12 13 6 1 1 1
11 12 1 1 1 1
10 12 6 1 1 1
10 11 6 1 1 1
5 10 1 1 1 1
4 10 6 1 1 1
8 9 1 1 1 1
7 9 6 1 1 1
7 8 6 1 1 1
6 7 1 1 1 1
5 7 6 1 1 1
5 6 6 1 1 1
4 5 6 1 1 1
3 4 1 1 1 1
2 4 6 1 1 1
2 3 6 1 1 1
1 2 6 1 1 1
